cod_mun,municipio_residencia,regiao_saude_residencia,tratado,medicos_pmm_inicial,populacao_2014,log_populacao,taxa_icsap_pre,taxa_clinicas_pre,taxa_icsap_pos,mudanca_taxa_icsap
520005,ABADIA DE GOIAS,CENTRAL,0,0.0,7733,8.953252164609035,275.9349808378485,350.4691423285318,326.2264722216057,50.291491383757204
520010,ABADIANIA,PIRENEUS,1,3.0,17701,9.781376414141157,128.13113240217015,155.83516102966638,123.7879974681916,-4.343134933978547
520013,ACREUNA,SUDOESTE I,0,0.0,21549,9.97808469074291,420.1067115978658,592.5301881493962,312.72979098759646,-107.37692061026934
520015,ADELANDIA,OESTE II,0,0.0,2554,7.845416036592485,150.58823529411762,211.76470588235293,90.01347200814384,-60.57476328597379
520017,AGUA FRIA DE GOIAS,ENTORNO NORTE,0,0.0,5451,8.603554357064281,62.27988878591289,73.40129749768305,37.42122773846945,-24.85866104744344
520020,AGUA LIMPA,SUL,0,0.0,2007,7.604396348796338,261.2568035625928,320.6333498268184,162.56324139970712,-98.69356216288566
520025,AGUAS LINDAS DE GOIAS,ENTORNO SUL,1,2.0,182526,12.114647907610825,213.6376412389679,277.1150711113609,149.9901866787131,-63.6474545602548
520030,ALEXANIA,PIRENEUS,1,3.0,25805,10.158323550582827,276.11119836657764,359.50997329982727,539.4311955492302,263.31999718265257
520050,ALOANDIA,SUL,0,0.0,2084,7.642044402873258,568.6931546194352,729.5356629966492,189.7297626664229,-378.96339195301226
520055,ALTO HORIZONTE,SERRA DA MESA,0,0.0,5307,8.576781982827894,53.69649805447471,79.37743190661479,47.0671173838561,-6.629380670618609
520060,ALTO PARAISO DE GOIAS,ENTORNO NORTE,0,0.0,7328,8.899457906353966,224.73147893142382,287.52409804461576,202.50382709054267,-22.22765184088115
520080,ALVORADA DO NORTE,NORDESTE II,0,0.0,8499,9.047703788498627,1538.3522727272725,2061.0795454545455,753.6557148439267,-784.6965578833458
520082,AMARALINA,SERRA DA MESA,0,0.0,3658,8.204671828950811,102.6206896551724,119.17241379310344,78.83834883338204,-23.782340821790356
520085,AMERICANO DO BRASIL,RIO VERMELHO,0,0.0,5866,8.676928249537397,365.3879236194736,487.1838981592981,537.8783365847628,172.49041296528918
520090,AMORINOPOLIS,OESTE I,0,0.0,3528,8.168486417126681,332.77310924369743,450.4201680672269,345.0201656037618,12.247056360064391
