coluna,celulas,aplicaveis,ausencias_ingenuas,ausencias_previstas,ausencias_aplicaveis,presencas_fora_intervalo
COFINS,8424,1296,7128,7128,0,0
COFINS - FINANCEIRAS,8424,7128,1296,1296,0,0
COFINS - DEMAIS,8424,7128,1296,1296,0,0
CONTRIBUIÇÃO PARA O PIS/PASEP,8424,1296,7128,7128,0,0
CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,8424,7128,1296,1296,0,0
CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,8424,7128,1296,1296,0,0
CSLL,8424,1296,7128,7128,0,0
CSLL - FINANCEIRAS,8424,7128,1296,1296,0,0
CSLL - DEMAIS,8424,7128,1296,1296,0,0
