"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000042021";"155891";"INST.FED.BAIANO / CAMPUS ALAGOINHAS";"6";"Dispensa de Licitação";"23807250745202171";"Objeto: Aquisição de materiais para atender o curso FIC de manutenção de Computador/celular, de acordo com o PPC do curso.";"Encerrado";"26000";"Ministério da Educação";"26404";"Instituto Federal de Educação, Ciência e T";"BA";"ALAGOINHAS";"13/09/2021";"";"17400,0000"
"000042021";"155914";"HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO";"7";"Inexigibilidade de Licitação";"23769006512202136";"Objeto: Contratação de Empresa para Realização de Capacitação: Curso online, ao vivo, 'Gestão e Fiscalização de Contratos Administrativos', para colaboradores do HUAC-UFCG/Ebserh.";"Encerrado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"PB";"CAMPINA GRANDE";"23/09/2021";"";"8330,0000"
"000042021";"156654";"HOSPITAL DE CLINICAS DE UBERLANDIA";"5";"Pregão";"23860000010202072";"Objeto: Pregão Eletrônico - O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada na Prestação de Serviços Contínuos de Alimentação e Nutrição Hospitalar, visando o fornecimento de pequenas e grandes refeições livres e especiais, incluindo dietas enterais, fórmulas pediátricas, módulos nutricionais e suplementos alimentos alimentares, para pacientes (adulto e pediátrico), acompanhantes legalmente instuídos (Lei Federal nº 8.069";"Publicado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"MG";"UBERLANDIA";"03/09/2021";"20/07/2021";"0,00"
"000042021";"156680";"UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA";"6";"Dispensa de Licitação";"23855000539202108";"Objeto: Aquisição de Equipamentos de Proteção Individuais (EPIs) para uso do Serviço Odontológico (SEOD) da Pró-Reitoria de Assuntos Estudantis e Comunitários (PRAEC), conforme condições, quantidades e exigências estabelecidas no TR.";"Encerrado";"26000";"Ministério da Educação";"26455";"Universidade Federal do Delta do Parnaíba";"PI";"PARNAIBA";"27/09/2021";"";"3197,4000"
"000042021";"158122";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"2";"Tomada de Preços";"23718000336202124";"Objeto: Contratação de empresa especializada para a execução da OBRA DE EXECUÇÃO DA COBERTURA METÁLICA, INSTALAÇÕES ELÉTRICAS E DRENAGEM E SPDA DA QUADRA POLIESPORTIVA DO CAMPUS PONTE NOVA - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais, conforme condições e exigências impostas no EDITAL TOMADA DE PREÇOS Nº 04/2021, seus Anexos e projetos disponíveis no sítio: https://solucoes.ifmg.edu.br/licitateca/visao/consultar_editais.frm.php.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e T";"MG";"BELO HORIZONTE";"01/09/2021";"";"1017182,8200"
"000042021";"158133";"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA";"9999";"Pregão - Registro de Preço";"23255000755202151";"Objeto: Pregão Eletrônico - Aquisição de materiais e equipamentos para fins de enfrentamento da emergência de saúde pública de importância internacional decorrente do novo coronavírus, causador da COVID-19.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26405";"Instituto Federal de Educação, Ciência e T";"CE";"FORTALEZA";"16/09/2021";"09/08/2021";"0,00"
"000042021";"158134";"INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE";"6";"Dispensa de Licitação";"23832000187201972";"Objeto: Substituição de 3 calhas metálicas por calhas em fibra de vidro com 3,50 mm de espessura, incluso fornecimento das calhas, conforme dimensões contidas no anexo do Termo de Referência.";"Encerrado";"26000";"Ministério da Educação";"26423";"Instituto Federal de Educação, Ciência e T";"SE";"ARACAJU";"15/09/2021";"";"3826,8800"
"000042021";"158142";"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS";"9999";"Pregão - Registro de Preço";"23443001488202111";"Objeto: Pregão Eletrônico - Aquisição/Renovação de Licença de Antivírus atualmente sendo o Kaspersky Endpoint Security for Business Advanced em 5.230 licenças pelo período de 36 (trinta e seis) meses conforme especificações básicas constantes no termo de referência";"Publicado";"26000";"Ministério da Educação";"26403";"Instituto Federal de Educação, Ciência e T";"AM";"MANAUS";"27/09/2021";"02/09/2021";"554380,0000"
"000042021";"158153";"INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS";"7";"Inexigibilidade de Licitação";"23373003623202134";"Objeto: Manutenção das licenças do software COMSOL Multiphysics e módulos complementares, pelo período de 12 meses para o IFG - Campus Goiânia.";"Publicado";"26000";"Ministério da Educação";"26429";"Instituto Federal de Educação, Ciência e T";"GO";"GOIANIA";"25/09/2021";"";"13985,0000"
"000042021";"158154";"INSTITUTO FEDERAL DE SAO PAULO";"9999";"Pregão - Registro de Preço";"23305002979202083";"Objeto: Pregão Eletrônico - Intenção de registrar preços para eventual aquisição de material - CONSUMO - MATERIAL EDUCATIVO E ESPORTIVO - Processo Original nº 23305.002979.2020-83  SRP 04_2021";"Publicado";"26000";"Ministério da Educação";"26439";"Instituto Federal de Educação, Ciência e T";"SP";"SAO PAULO";"29/09/2021";"29/07/2021";"7070,0500"
