coluna,dtype,rotulo
s04f14,datetime64[s],
s04f15,datetime64[s],
s04f16,datetime64[s],
s05a1,float64,(nome) ajuda nas tarefas domesticas?
s05a2,float64,"tipicamente, quantas horas por semana (nome) gasta nessas ta"
s05a3,float64,[nome] trabalha ou ja trabalhou alguma vez
s05a4,datetime64[s],em que mes e ano trabalhou pela ultima vez?
s05a5,float64,com que idade comeÇou a trabalhar
s05a7,float64,[nome] procurou trabalho nos ultimos 30 dias?
s05a8,float64,[nome} procurou trabalho nos ultimos 7 dias?
s05a_nor,float64,numero de ordem do respondente secao 5 parte a
s05a6a,float64,mes trabalhado - ago 08
s05a6b,float64,mes trabalhado - set 08
s05a6c,float64,mes trabalhado - out 08
s05a6d,float64,mes trabalhado - nov 08
s05a6e,float64,mes trabalhado - dez 08
s05a6f,float64,mes trabalhado - jan 09
s05a6g,float64,mes trabalhado - fev 09
s05a6h,float64,mes trabalhado - mar 09
s05a6i,float64,mes trabalhado - abr 09
s05a6j,float64,mes trabalhado - mai 09
s05a6k,float64,mes trabalhado - jun 09
s05a6l,float64,mes trabalhado - jul 09
s05a6m,float64,mes trabalhado - ago 09
year,str,
s05b1,str,ocupacao 1
s05b2,float64,codigo da ocupacao 1
s05b3,float64,ramo de atividade
s05b4,float64,posicao na ocupacao
s05b5,float64,horas habitualmente trabalhadas na semana
s05b7,float64,contribui/contribuiu para previdencia social
s05b8,float64,recebeu/recebe em bens?
s05b9,float64,recebeu/recebe em dinheiro?
s05b10,float32,"nesse trabalho, qual foi o rendimento mensal, incluindo vale"
s05b_nor,float64,numero de ordem do respondente secao 5 parte b
s05b6a,float64,mes trabalhado na ocupacao - ago 08
s05b6b,float64,mes trabalhado na ocupacao - set 08
s05b6c,float64,mes trabalhado na ocupacao - out 08
s05b6d,float64,mes trabalhado na ocupacao - nov 08
s05b6e,float64,mes trabalhado na ocupacao - dez 08
s05b6f,float64,mes trabalhado na ocupacao - jan 09
s05b6g,float64,mes trabalhado na ocupacao - fev 09
s05b6h,float64,mes trabalhado na ocupacao - mar 09
s05b6i,float64,mes trabalhado na ocupacao - abr 09
s05b6j,float64,mes trabalhado na ocupacao - mai 09
s05b6k,float64,mes trabalhado na ocupacao - jun 09
s05b6l,float64,mes trabalhado na ocupacao - jul 09
s05b6m,float64,mes trabalhado na ocupacao - ago 09
s05b1_2,str,ocupacao 2
s05b10_2,float64,"nesse trabalho, qual foi o rendimento mensal, incluindo vale"
s05b2_2,float64,codigo da ocupacao 2
s05b3_2,float64,ramo de atividade 2
s05b4_2,float64,posicao na ocupacao 2
s05b5_2,float64,horas habitualmente trabalhadas na semana
s05b6a_2,float64,mes trabalhado na ocupacao - ago 08
s05b6b_2,float64,mes trabalhado na ocupacao - set 08
s05b6c_2,float64,mes trabalhado na ocupacao - out 08
s05b6d_2,float64,mes trabalhado na ocupacao - nov 08
s05b6e_2,float64,mes trabalhado na ocupacao - dez 08
s05b6f_2,float64,mes trabalhado na ocupacao - jan 09
s05b6g_2,float64,mes trabalhado na ocupacao - fev 09
s05b6h_2,float64,mes trabalhado na ocupacao - mar 09
s05b6i_2,float64,mes trabalhado na ocupacao - abr 09
s05b6j_2,float64,mes trabalhado na ocupacao - mai 09
s05b6k_2,float64,mes trabalhado na ocupacao - jun 09
s05b6l_2,float64,mes trabalhado na ocupacao - jul 09
s05b6m_2,float64,mes trabalhado na ocupacao - ago 09
s05b7_2,float64,contribui/contribuiu para previdencia social
s05b8_2,float64,recebeu/recebe em bens?
s05b9_2,float64,recebeu/recebe em dinheiro?
s05b1_3,str,ocupacao 1
s05b10_3,float64,"nesse trabalho, qual foi o rendimento mensal, incluindo vale"
s05b2_3,float64,codigo da ocupacao 1
s05b3_3,float64,ramo de atividade
s05b4_3,float64,posicao na ocupacao
s05b5_3,float64,horas habitualmente trabalhadas na semana
s05b6a_3,float64,mes trabalhado na ocupacao - ago 08
s05b6b_3,float64,mes trabalhado na ocupacao - set 08
s05b6c_3,float64,mes trabalhado na ocupacao - out 08
s05b6d_3,float64,mes trabalhado na ocupacao - nov 08
s05b6e_3,float64,mes trabalhado na ocupacao - dez 08
s05b6f_3,float64,mes trabalhado na ocupacao - jan 09
s05b6g_3,float64,mes trabalhado na ocupacao - fev 09
s05b6h_3,float64,mes trabalhado na ocupacao - mar 09
s05b6i_3,float64,mes trabalhado na ocupacao - abr 09
s05b6j_3,float64,mes trabalhado na ocupacao - mai 09
s05b6k_3,float64,mes trabalhado na ocupacao - jun 09
s05b6l_3,float64,mes trabalhado na ocupacao - jul 09
s05b6m_3,float64,mes trabalhado na ocupacao - ago 09
s05b7_3,float64,contribui/contribuiu para previdencia social
s05b8_3,float64,recebeu/recebe em bens?
s05b9_3,float64,recebeu/recebe em dinheiro?
s05c1,float64,com que idade [nome] comecou a trabalhar?
s05c2,str,qual foi a ocupacao de [nome] nesse primeiro trabalho?
s05c3,float64,qual o codigo de ocupacao de [nome] nesse primeiro trabalho?
s05c4,float64,como [nome] conseguiu esse trabalho?
s05c5,float64,por quanto tempo [nome] ficou/esta nesse emprego?
s05c6,float64,neste primeiro emprego [nome] teve/tem carteira assinada?
s05c_nor,float64,numero de ordem do respondente secao 5 parte c
s06x1,float64,em agosto/2009 [nome] recebeu aposentadoria ou pensao de ins
s06x2,float64,quanto [nome] recebeu?
s06x3,float64,em agosto/09 [nome] recebeu seguo desemprego?
s06x4,float64,quanto [nome] recebeu?
s06x5,float64,em agosto/09 [nome] recebeu pensao alimenticia?
s06x6,float64,quanto [nome] recebeu?
s06x7,float64,"em agosto/09 [nome] recebeu alimentos, roupas ou outras merc"
s06x8,float64,qual o valor estimado?
s06x9,float64,em agosto/09 [nome] recebeu outros rendimentos?
s06x10,float64,quanto [nome] recebeu?
s06x_nor,float64,numero de ordem do respondente secao 6
s07a1,float64,[nome] realizou gastos com transporte publico durante os ult
s07a2,float64,quanto[nome] gastou com transporte publico nos ultimos 7 dia
s07a3,float64,[nome] realizou gastos com transporte particular durante os
s07a4,float64,"quanto [nome] gastou com combustivel, manutencao, estacionam"
s07a5,float64,[nome] realizou gastos com comunicacoes durante os ultimos 3
s07a6,float64,quanto [nome] gastou com comunicacoes nos ultimos 30 dias?
s07a_nor,float64,numero de ordem do respondente secao 7
s07b1,float64,[nome] consumiu alimentos ou bebidas fora de casa nos ultimo
s07b2,float64,quanto [nome] gastou com alimentos e bebidas fora de casa no
s07b3,float64,"[nome] realizou gastos com bebidas alcoolicas fora de casa,"
s07b4,float64,quanto [nome]gastou nos ultimos 7 dias?
s07b_nor,float64,numero de ordem do respondente secao 7 parte b
attend_now,float64,Child currently attends school/daycare
attend_ever,float64,Child has ever attended school/daycare
attend_lastyear,float64,Child attended school/daycare last year
grade_now,float64,Recoded grade level now: regular series only
grade_lastyear,float64,Recoded grade level last year: regular series only
dropout,float64,"Whether child dropped out, given that they attended school last year"
return,float64,"Whether child returned, given that they did not attend school last year"
grade_prog2,float64,Grade progression by 1 or 2 levels (vs. dropout/repeat):reg only
grade_rep2,float64,Grade repetition (vs. dropout or grade prog by 1 or 2 levels): reg only
dropout2,float64,Dropout (vs. grade repetition or grade prog by 1 or 2 levels):reg only
p_attend7,float64,"Proportion of days that school was open and child did attend, in past 7 days (co"
d_miss7,float64,"Number of days that school was open and child did not attend, in the past 7 days"
if_miss30,float64,If child missed any school in past 30 days (constructed; assume yes if report mi
if_miss7,float64,If child missed any school in past 7 days (constructed; assume yes if reason rep
educ1,float64,
educ2,float64,
educ3,float64,
educ4,float64,
educ5,float64,
educ6,float64,
educ7,float64,
tot_ed_exp,float64,Total education related expenditures (constructed)
any_ed_exp,float64,Dummy for reports educational expenditures
educ,float64,Education Level
educ_hs,float64,High school education or above
educ_elem,float64,Has only elementary education
