"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"160191";"CENTRO PREPARACAO OFICIAIS RESERVA/RECIFE";"2";"Tomada de Preços";"64215007989201968";"Objeto: REPARAÇÃO da SEÇÃO de SAÚDE DO CPOR R, LOCALIZADO NA AV. DEZESSETE DE AGOSTO, Nº 1020  CASA FORTE, RECIFE  PE, CEP  52060-335";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"PE";"RECIFE";"27/07/2020";"";"176677,7000"
"000012019";"170042";"DELEGACIA DA RFB EM JUAZEIRO DO NORTE";"5";"Pregão";"10315721489201985";"Objeto: Pregão Eletrônico - Contratação de serviços de vigilância, copeiragem, carregador, motorista, jardinagem e recepcionista, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Evento de Resultado de Julgame";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"CE";"JUAZEIRO DO NORTE";"10/07/2020";"22/06/2020";"499091,6400"
"000012019";"721000";"ESCOLA DE GUERRA NAVAL";"2";"Tomada de Preços";"61126.000597/2019";"Objeto: Contratação de serviço de engenharia para reforma do deck do refeitório e das instalações de iluminação do mesmo, incluindo alimentador, quadro de distribuição de circuitos e luminárias, na Escola de Guerra Naval  EGN, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"03/07/2020";"";"187588,7600"
"000012020";"113201";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"9999";"Pregão - Registro de Preço";"01341007988201958";"Objeto: Pregão Eletrônico - Aquisição de material de consumo, abrangendo os grupos de informática, conforme condições, quantidades, exigências e estimativas, estabelecidas no Anexo A do Termo de Referência";"Publicado";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"20301";"Comissão Nacional de Energia Nuclear";"RJ";"RIO DE JANEIRO";"15/07/2020";"16/04/2020";"13440,0000"
"000012020";"113207";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-CO";"7";"Inexigibilidade de Licitação";"01203000108202031";"Objeto: Aquisição de padrões de radionuclídeos em vegetação e solo.";"Encerrado";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"20301";"Comissão Nacional de Energia Nuclear";"GO";"ABADIA DE GOIAS";"22/07/2020";"";"9780,2100"
"000012020";"113210";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-LAPOC";"5";"Pregão";"01346.000015/2020";"Objeto: Pregão Eletrônico - Contratação de serviços de prestação de serviços continuados de vigilância armada, serviços com dedicação exclusiva da mão de obra para jornada de trabalho de 12x36h no Laboratório de Poços de Caldas, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos";"Publicado";"24000";"Ministério da Ciência, Tecnologia e Inovaç";"20301";"Comissão Nacional de Energia Nuclear";"MG";"POCOS DE CALDAS";"06/07/2020";"17/06/2020";"857469,0000"
"000012020";"114612";"SUPERINTENDENCIA ESTADUAL DO IBGE NO RN";"6";"Dispensa de Licitação";"23817.98/2082";"Objeto: Contratação de empresa especializada na prestação de serviços de vigilância eletrônica para unidades do IBGE/RN";"Encerrado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"RN";"NATAL";"13/07/2020";"";"21504,0000"
"000012020";"114616";"SUPERINTENDENCIA ESTADUAL DO IBGE EM SERGIPE";"7";"Inexigibilidade de Licitação";"21125.137/2085";"Objeto: Contratação de serviços de fornecimento de energia elétrica para atender as necessidades da Agência do IBGE no município de Estância/SE, localizada à Rua Leopoldo R. do Nascimento, nº 60, Bairro Centro.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"SE";"ARACAJU";"31/07/2020";"";"7624,3000"
"000012020";"120039";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"3";"Concorrência";"67246011984201880";"Objeto: Contratação de empresa especializada na execução de serviços técnicos necessários ao reaparelhamento e reestruturação do Setor de Subsistência da Central de Produção do GAP-RJ, por meio de manutenção das instalações.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RJ";"RIO DE JANEIRO";"14/07/2020";"";"14221244,7300"
"000012020";"120073";"BASE AEREA DE FLORIANOPOLIS";"9999";"Pregão - Registro de Preço";"67272000871202056";"Objeto: Pregão Eletrônico - Aquisição de material de Consumo Odontológico, para atender às necessidades da Seção de Odontologia do Esquadrão de Saúde de Florianópolis, conforme condições, quantidades e exigências estabelecidas no edital.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SC";"FLORIANOPOLIS";"27/07/2020";"25/03/2020";"727,0000"
"000012020";"120624";"BASE AEREA DE ANAPOLIS";"2";"Tomada de Preços";"67288005219201915";"Objeto: Escolha da proposta mais vantajosa para a contratação de empresa de engenharia especializada para a execução do serviço de Ampliação e Reforma do Prédio do armamento Terrestre da ALA2.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"GO";"ANAPOLIS";"27/07/2020";"";"396043,2400"
"000012020";"120626";"GRUPAMENTO DE APOIO DE PIRASSUNUNGA";"6";"Dispensa de Licitação";"67513.05501/19-91";"Objeto: Aquisição de gêneros alimentícios (frutas, legumes e verduras) - Agricultura Familiar";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SP";"PIRASSUNUNGA";"27/07/2020";"";"175587,0000"
"000012020";"120627";"GRUPAMENTO DE APOIO DE ALCANTARA";"9999";"Pregão - Registro de Preço";"67712008660201900";"Objeto: Pregão Eletrônico - Serviços Comuns de Engenharia para a Guarnição de Aeronáutica de Alcântara.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"MA";"ALCANTARA";"30/07/2020";"30/03/2020";"1012,5000"
"000012020";"120630";"GRUPAMENTO DE APOIO DE MANAUS";"7";"Inexigibilidade de Licitação";"67436002708202016";"Objeto: Credenciamento, a nível estadual, Amazonas e Acre, de pessoas físicas e jurídicas interessadas na prestação dos serviços de assistência médica, médico-hospitalar, ambulatorial, internação, serviço auxiliar ao diagnóstico de enfermidade, de fonoaudiologia, de fisioterapia, de nutrição, de psicologia, de terapia ocupacional, laboratorial e outros serviços de saúde a serem complementados aos beneficiários do Fundo de Saúde da Aeronáutica (FUNSA).";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"AM";"MANAUS";"24/07/2020";"";"300000,0000"
"000012020";"120644";"GRUPAMENTO DE APOIO DE CURITIBA";"7";"Inexigibilidade de Licitação";"67616000007202016";"Objeto: Pagamento de tarifas relativas ao fornecimento de água para Próprios Nacionais Residenciais (PNR) desocupados sob administração da PACT, no município de Urubici-RS.";"Encerrado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"PR";"CURITIBA";"10/07/2020";"";"5331,9600"
"000012020";"130016";"LABORATORIO FEDERAL DE DEFESA AGROPECUARIA/PE";"7";"Inexigibilidade de Licitação";"21002000674202016";"Objeto: Pagamento de teste de Proficiência, incluindo o transporte dos materiais necessários à execução dos mesmos, junto ao provedor SENAI-SC, para os ensaios relacionados a unidade Microbiologia de Alimentos em proveito do LFDA/PE.";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"PE";"RECIFE";"07/07/2020";"";"3252,0000"
"000012020";"130023";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/RN";"6";"Dispensa de Licitação";"21040000712202084";"Objeto: Serviços de instalação, limpeza e manutenção de aparelhos de Ar Condicionado, com fornecimento de MATERIAIS, visando atender às necessidades da SFA/RN, conforme especificações e quantitativos previstos no Termo de Referência.";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"RN";"NATAL";"28/07/2020";"";"14830,0000"
