"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"158274";"INST.FED. FLUMINENSE/CAMPUS CAMPOS-CENTRO";"5";"Pregão";"23318000158201920";"Objeto: Pregão Eletrônico - O presente Pregão Eletrônico tem por objeto a AQUISIÇÃO DE AGASALHO COMPLETO COM BOLSOS E OUTROS solicitados pela Coordenação de Educação Física do campus Campos Centro do IFFluminense";"Publicado";"26000";"Ministério da Educação";"26434";"Instituto Federal de Educação, Ciência e T";"RJ";"CAMPOS DOS GOYTACAZES";"22/09/2020";"19/08/2020";"182099,6500"
"000012019";"160247";"32º BATALHAO DE INFANTARIA LEVE-MONTANHA";"7";"Inexigibilidade de Licitação";"64098004092202008";"Objeto: Procedimentos realizados em ambulatório e consultas médicas, através do corpo clínico especializado, em condições de prestar atendimento médico ambulatorial e serviços de apoio ao diagnóstico e tratamento (SADT), conforme descrito no Edital de Credenciamento.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"PETROPOLIS";"23/09/2020";"";"360000,0000"
"000012019";"160338";"1º ESQUADRAO DE CAVALARIA LEVE";"7";"Inexigibilidade de Licitação";"64517007765201951";"Objeto: Contratação da Organização Civil de Saúde Diniz Imagem Odontológica LTDA  ME para prestação de serviços de Radiologia Odontológica aos beneficiários do FuSEx.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"VALENCA";"29/09/2020";"";"9304,5600"
"000012019";"160494";"2º BATALHAO DE SUPRIMENTO";"9999";"Pregão - Registro de Preço";"64457005021201954";"Objeto: Pregão Eletrônico - Eventual aquisição de material farmacológico, hospitalar e odontológico visando atender às necessidades do 21º Depósito de Suprimento e UG Participantes conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"SP";"SAO PAULO";"02/09/2020";"21/05/2020";"5108,4000"
"000012019";"720000";"ESTADO-MAIOR DA ARMADA";"2";"Tomada de Preços";"61074006377201911";"Objeto: Contratação de empresa para execução de obras necessárias a revitalização das fachadas (reparo, pintura e limpeza), impermeabilização de trecho de laje de cobertura, além da revisão de telhas existentes no Prédio Almirante Júlio de Noronha (EMA-RIO), localizado na Praça Barão de Ladário SN, Centro, Rio de Janeiro-RJ, CEP: 20010-000, conforme quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"DF";"BRASILIA";"17/09/2020";"";"791895,0000"
"000012020";"926483";"SERVIÇO SOCIAL DO COMÉRCIO - SESC MG";"5";"Pregão";"04577/19";"Objeto: Pregão Eletrônico - Registro de Preço de uniforme (camisa) para alunos das escolas de esporte do Sesc em Minas, conforme Edital e Anexos.";"Divulgado";"20000";"PRESIDENCIA DA REPUBLICA - PRES";"38000";"MINISTERIO DO TRABALHO E EMPREGO";"-3";"Inválido";"10/09/2020";"05/02/2020";"93312,4500"
"000012020";"926397";"AGÊN.BRAS.GEST.DE FUNDOS GARANTID.GARANT.S.A";"7";"Inexigibilidade de Licitação";"016/2020";"Objeto: Contratação de cinco assinaturas digitais dos jornais Valor Econômico e O GLOBO.";"Encerrado";"20000";"PRESIDENCIA DA REPUBLICA - PRES";"25000";"MINISTERIO DA FAZENDA";"-3";"Inválido";"16/09/2020";"";"1861,6000"
"000012020";"030100";"PROJETO DE APOIO A MODERNIZACAO/TCU";"5";"Pregão";"20190608197";"Objeto: Pregão Eletrônico - Registro de preço, pelo prazo de 1 (um) ano, para eventual compra de materiais e insumos de engenharia da família divisória, conforme especificado no termo de referência (ANEXO I)";"Divulgado";"03000";"Tribunal de Contas da União";"03000";"Tribunal de Contas da União - Unidades com v";"DF";"BRASILIA";"10/09/2020";"15/01/2020";"497644,0000"
"000012020";"120073";"BASE AEREA DE FLORIANOPOLIS";"2";"Tomada de Preços";"67272001545202066";"Objeto: Contratação de prestação de serviço de empresa especializada na elaboração de projetos básicos, executivos e complementares de engenharia e arquitetura para serviços de reparações, adaptações e melhorias das instalações do refeitório da Guarnição de Aeronáutica de Florianópolis.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SC";"FLORIANOPOLIS";"22/09/2020";"";"144583,8000"
"000012020";"120073";"BASE AEREA DE FLORIANOPOLIS";"7";"Inexigibilidade de Licitação";"67272008991201968";"Objeto: Credenciamento de Organizações Civis de Saúde aos usuários do Fundo de Saúde da Aeronáutica (FUNSA)";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SC";"FLORIANOPOLIS";"30/09/2020";"";"990000,0000"
