"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012018";"153037";"UNIVERSIDADE FEDERAL DE ALAGOAS";"3";"Concorrência";"23065027122201821";"Objeto: Escolha da proposta mais vantajosa para a contratação de empresa especializada para construção da 1ª etapa da sede do Campus Penedo (UFAL) mediante o regime empreitada por preço global.";"Evento de Suspensão Publicado";"26000";"Ministério da Educação";"26231";"Universidade Federal de Alagoas";"AL";"MACEIO";"13/11/2020";"";"8702963,4600"
"000012020";"926533";"CONSELHO REG. DE ARQUITETURA E URBANISMO - RO";"5";"Pregão";"05/2020";"Objeto: Pregão Eletrônico - Aquisição de material gráfico (características conforme termo de Referência)";"Divulgado";"38678";"CONSELHO DE ARQUITETURA E URBANISMO DE RO";"38678";"CONSELHO DE ARQUITETURA E URBANISMO DE RO";"-3";"Inválido";"23/11/2020";"20/11/2020";"26889,8000"
"000012020";"926810";"CONSELHO REGIONAL DE CONTABILIDADE - MA";"5";"Pregão";"2020/000141";"Objeto: Pregão Eletrônico - Contratação de serviços continuados de limpeza, asseio e conservação com dedicação exclusiva de mão de obra, sem fornecimento de material, máquinas e equipamentos, a serem executados nas dependências do Conselho Regional de Contabilidade do Maranhão  CRCMA, em São Luís  MA, conforme condições, quantidades e exigências estabelecidas neste edital e seus anexos.";"Divulgado";"38500";"CONSELHO FEDERAL DE CONTABILIDADE";"38508";"CONSELHO REGIONAL DE CONTABILIDADE-MA";"-3";"Inválido";"11/11/2020";"04/11/2020";"62999,9400"
"000012020";"114612";"SUPERINTENDENCIA ESTADUAL DO IBGE NO RN";"5";"Pregão";"23817.135/2053";"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços de limpeza, higiene e conservação, com disponibilizaão de mão de obra exclusiva, na Unidade Estadual do IBGE/RN, incluindo todos os materiais e equipamentos necessários à sua realização.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"RN";"NATAL";"19/11/2020";"18/11/2020";"70494,9600"
"000012020";"114615";"SUPERINTENDENCIA ESTADUAL DO IBGE EM ALAGOAS";"7";"Inexigibilidade de Licitação";"20828000095202082";"Objeto: Contratação da prestação de serviços exclusivos, em regime de monopólio, conforme o artigo 9º e 27º, da Lei 6.538/78, prestados pela empresa brasileira de Correios e Telégrafos, inclusive, por meio de Sedex, destinado unicamente para os serviços postais exclusivos: recebimento, transporte e entrega, no território nacional, e a expedição para o exterior, de cartão-postal, de cartas, correspondências agrupadas (malotes) e telegramas via internet.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"AL";"MACEIO";"06/11/2020";"";"467421,6000"
"000012020";"120006";"GRUPAMENTO DE APOIO DE BRASILIA";"2";"Tomada de Preços";"67284002560202092";"Objeto: Contratação de empresa de engenharia especializada para a execução, sob o regime de empreitada a preço global, da Obra de Correção de Infiltrações no Subsolo do Gabinete do Comandante da Aeronáutica (GABAER) a ser executada na cidade de Brasília-DF.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"DF";"BRASILIA";"04/11/2020";"";"463104,8300"
"000012020";"120625";"GRUPAMENTO DE APOIO DO DISTRITO FED";"9999";"Pregão - Registro de Preço";"67285004572201916";"Objeto: Pregão Eletrônico - Serviço de Manutenção de Imóveis (PABR)";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"DF";"BRASILIA";"19/11/2020";"28/01/2020";"88635,0000"
"000012020";"120627";"GRUPAMENTO DE APOIO DE ALCANTARA";"7";"Inexigibilidade de Licitação";"67712010959201916";"Objeto: Serviços de engenharia de manutenção preventiva, corretiva e suporte técnico dos radares Atlas e Adour e das estações de telemetria e Banda S do Centro de Lançamento de Alcântara.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"MA";"ALCANTARA";"17/11/2020";"";"11193903,2400"
"000012020";"120632";"GRUPAMENTO DE APOIO DE RECIFE";"3";"Concorrência";"67230004613202035";"Objeto: Construção das estradas de acesso aos sítios do DTCEA-NT.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"PE";"RECIFE";"26/11/2020";"";"5317000,7300"
"000012020";"130011";"INSTITUTO NACIONAL DE METEOROLOGIA";"5";"Pregão";"21160000610202001";"Objeto: Pregão Eletrônico - O objeto desta licitação é a cessão de uso, mediante sublocação de área física a título oneroso, de uma área, medindo (86,20m²), situada nas dependências do prédio do Instituto Nacional de Meteorologia  INMET, imóvel de propriedade da União, localizado na 4ª Avenida Rua G Via S1, Setor Sudoeste Campus INMET, CEP: 70.680-900, Brasília - DF, com a utilização das instalações já existentes, composta por, salão para restaurante e cozinha, conforme Edital.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"DF";"BRASILIA";"11/11/2020";"27/10/2020";"29,9000"
"000012020";"130072";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/SC";"5";"Pregão";"21050005461202013";"Objeto: Pregão Eletrônico - Contratação de empresa para prestação dos serviços especializados em condicionadores de ar, manutenção preventiva e corretiva, limpeza higiênico-sanitária, instalação e desinstalação de aparelhos, com fornecimento de peças originais, materiais e insumos e elaboração do PMOC  Plano de Manutenção, Operação e Controle, para a Sede desta SFA-SC e das Unidades Descentralizadas de Itajaí, Chapeco, Concórdia e Videira, conforme condições do Edital e seus Anexos";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"SC";"SAO JOSE";"06/11/2020";"23/10/2020";"48433,1900"
"000012020";"130078";"DISTRITO DE METEOROLOGIA DE CUIABA";"9999";"Pregão - Registro de Preço";"21178000019202056";"Objeto: Pregão Eletrônico - Serviços de telefonia fixa na modalidade Local e Longa Distância Nacional em proveito da sede do Distrito de Meteorologia de Cuiabá - 9ºDISME/MT.";"Evento de Resultado de Julgame";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"MT";"VARZEA GRANDE";"19/11/2020";"18/11/2020";"1620,0000"
"000012020";"130240";"EMBRAPA/CNAT";"5";"Pregão";"21173.000255/2020";"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços de gerenciamento, controle e fornecimento de combustíveis, em rede de postos credenciada, através de sistema informatizado e integrado com tecnologia de cartão eletrônico com chip, para a frota de veículos da Embrapa Alimentos e Territórios - CNAT.";"Divulgado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"AL";"MACEIO";"19/11/2020";"17/11/2020";"83668,2500"
"000012020";"135002";"EMBRAPA/CPAF-ACRE";"7";"Inexigibilidade de Licitação";"21149.000948/2020";"Objeto: Prestação de serviços postais prestados em regime de monopólio pela Empresa Brasileira de Correios e Telégrafos (ECT)";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"AC";"RIO BRANCO";"25/11/2020";"";"10000,0000"
"000012020";"135002";"EMBRAPA/CPAF-ACRE";"9999";"Pregão - Registro de Preço";"21149.000848/2020";"Objeto: Pregão Eletrônico - Aquisição de Água Mineral e Vasilhame de 20 litros";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"AC";"RIO BRANCO";"23/11/2020";"15/10/2020";"4500,0000"
"000012020";"135021";"EMBRAPA/CNPS";"5";"Pregão";"21201.001232/2019";"Objeto: Pregão Eletrônico - Contratação de Empresa Especializada para Prestação de Serviços de Limpeza e Conservação nas dependências da Embrapa Solos, localizada no Rio de Janeiro  RJ, que compreenderá, além dos postos de serviço, o fornecimento de uniformes, materiais e equipamentos necessários à execução dos serviços, conforme especificações e quantitativos estabelecidos nos Anexos do Edital, pelo período de 12 (doze) meses, podendo ser prorrogado por até 60 (sessenta) meses em conformidade com";"Evento de Resultado de Julgame";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"RJ";"RIO DE JANEIRO";"13/11/2020";"05/11/2020";"531598,0700"
"000012020";"135025";"EMBRAPA/CNPMA";"7";"Inexigibilidade de Licitação";"21187002317202071";"Objeto: Manutenção corretiva do Cromatógrafo Gasoso Trace 1310, marca Thermo";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"SP";"JAGUARIUNA";"10/11/2020";"";"4888,2800"
"000012020";"135026";"EMBRAPA/CNPDIA";"7";"Inexigibilidade de Licitação";"25/2020";"Objeto: Material eletro- eletrônico";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"SP";"SAO CARLOS";"16/11/2020";"";"7607,6000"
"000012020";"135029";"EMBRAPA/CNPSO";"9999";"Pregão - Registro de Preço";"21199.001989/2020";"Objeto: Pregão Eletrônico - Aquisição de EPI e uniformes para entrega em Londrina/PR, pelo SISTEMA DE REGISTRO DE PREÇOS";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"PR";"LONDRINA";"18/11/2020";"14/10/2020";"0,00"
"000012020";"135031";"EMBRAPA/CPACT";"7";"Inexigibilidade de Licitação";"21169.002021/2020";"Objeto: Contratação da Empresa Brasileira de Correios e Telégrafos (ECT), para atender às necessidades da Embrapa Clima Temperado.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"RS";"PELOTAS";"11/11/2020";"";"12000,0000"
