"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012018";"160024";"COMANDO DE FRONTEIRA SOLIMOES/8 BIS";"9999";"Pregão - Registro de Preço";"64270004885201775";"Objeto: Pregão Eletrônico - Aquisição de Material Elétrico para o Comando de Fronteira Solimões / 8º Batalhão de Infantaria de Selva e demais unidades participantes.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"AM";"TABATINGA";"22/05/2019";"31/07/2018";"10080,0000"
"000012018";"160157";"9 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"2";"Tomada de Preços";"64047000414201812";"Objeto: Contratação de empresa para elaboração dos Projetos Básico e Executivo, utilizando Modelagem da Informação da Construção (BIM), e outros serviços complementares";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"MT";"CUIABA";"10/05/2019";"";"1095470,0400"
"000012018";"160157";"9 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"7";"Inexigibilidade de Licitação";"64047000080201887";"Objeto: Contratação de serviço de fornecimento de água e tratamento de esgoto.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"MT";"CUIABA";"02/05/2019";"";"323682,2400"
"000012018";"160264";"111 COMPANHIA DE APOIO DE MATERIAL BELICO";"9999";"Pregão - Registro de Preço";"80752000006201931";"Objeto: Pregão Eletrônico - Aquisição de Óleos, Lubrificantes, Fluidos, Graxas, Pneus e Baterias destinados a suprir a necessidade da 111ª Companhia de Apoio de Material Bélico e OMDS a 1ªRM";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"10/05/2019";"29/04/2019";"119796,0000"
"000012018";"160303";"BASE DE ADMINISTRACAO E APOIO DA 1 RM";"1";"Convite";"038/2018";"Objeto: Contratação de empresa especializada na execução de obra de Construção do Telhado Provisório do Pavilhão Rancho da Vila Militar Ilha do Bom Jesus, situado na Praça General Lamartine, sn, Ilha do Bom Jesus, Fundão. Rio de Janeiro  RJ, mediante o regime empreitada por preço global conforme condições, quantidades, exigências e especificações discriminadas no Projeto Básico e demais documentos anexos a este Convite.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"15/05/2019";"";"69800,4800"
"000012018";"510180";"SUPERINTENDENCIA REGIONAL SUDESTE II";"2";"Tomada de Preços";"35131.000478/2015";"Objeto: Contratação de empresa de engenharia para executar obra de reforma da fachada e janelas do imóvel próprio da Gerência Executiva do INSS em Juiz de Fora/MG, situado na Rua Marechal Deodoro, 722, no bairro centro da cidade de Juiz de Fora/MG, de acordo com o disposto no Edital e seus anexos.";"Evento de Resultado de Julgame";"33000";"Ministério da Previdência Social";"37202";"Instituto Nacional do Seguro Social";"MG";"BELO HORIZONTE";"10/05/2019";"";"1232721,2500"
"000012018";"765706";"SANATORIO NAVAL DE NOVA FRIBURGO";"6";"Dispensa de Licitação";"63069001128201853";"Objeto: Prestação de serviços de combate e controle de pragas. Vigência: 01/07/2018 a 30/06/2019.";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"NOVA FRIBURGO";"28/05/2019";"";"5880,0000"
"000012018";"791181";"CENTRO DE INTEND. DA MARINHA EM S.PEDRO DA AL";"5";"Pregão";"63398000159201601";"Objeto: Pregão Eletrônico - CESSÃO DE USO, sob o regime oneroso, de área situada nas dependências do Centro de instrução e Adestramento Aeronaval José Maria do Amaral Oliveira denominado, CIAAN, mediante retribuição mensal à MARINHA, para o funcionamento de uma cantina.";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"SAO PEDRO DA ALDEIA";"22/05/2019";"02/05/2019";"885,0000"
"000012019";"926442";"CONSELHO REG. DE ARQUITETURA E URBANISMO - RJ";"5";"Pregão";"2018-5-0371";"Objeto: Pregão Eletrônico - Contratação de microempresa ou empresa de pequeno porte para fornecimento de materiais de limpeza e descartáveis.";"Evento de Reabertura de Prazo ";"38959";"CONSELHO REG. DE ARQUITETURA E URBANISMO - RJ";"38959";"CONSELHO REG. DE ARQUITETURA E URBANISMO - RJ";"-3";"Inválido";"21/05/2019";"21/05/2019";"0,00"
"000012019";"926130";"DIVISÃO DE CENTRO DE SERV COMPRATILHADOS BSB";"5";"Pregão";"CSG.A.00001.2019";"Objeto: Pregão Eletrônico - Fornecimento parcelado de Agua Mineral sem gás, em galões de 20 litros e frascos de 500 ml, para entrega nas dependências de Furnas, no município de Aparecida de Goiânia - GO, conforme descrição e quantitativo detalhado no Anexo I - Termo de Referência do Edital.";"Publicado";"20101";"Sem informação";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"-3";"Inválido";"28/05/2019";"04/04/2019";"75999,0000"
