"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"925133";"GERENCIA ADMINISTRATIVA EM FORTALEZA";"6";"Dispensa de Licitação";"155627";"Objeto: Aquisição de 6 (seis) válvulas de gaveta de 5 para a central de águas geladas (CAG) do sistema de ar condicionado do prédio do Banco Central do Brasil em Fortaleza.";"Encerrado";"20101";"Sem informação";"25201";"BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL";"-3";"Inválido";"31/08/2021";"11/04/2019";"1779,9800"
"000012020";"160265";"15º REGIMENTO DE CAVALARIA MECANIZADO(ESCOLA";"9999";"Pregão - Registro de Preço";"80690001618202079";"Objeto: Pregão Eletrônico - Locação de banheiro químico comum e de portadores de necessidades especiais e pessoas com deficiências, tipo Standard para atender as demandas do 15¿ R C Mec (Es) e das UGPs que compôem o GCALC/ GUEs- 9ª Bda Inf Mtz.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"11/08/2021";"30/03/2021";"32319,0000"
"000012020";"373053";"SUPERINTENDENCIA REGIONAL DA BAHIA - SR(BA)";"5";"Pregão";"54000.170695/2019";"Objeto: Pregão Eletrônico - Contratação de serviços de Leiloeiro oficial para preparação, organização e condução de Leilão público, destinados a alienação de bens móveis inservíveis pertencentes ao patrimônio do Instituto Nacional de Colonização e Reforma Agrária  INCRA/BA conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Alteração Publicad";"49000";"Ministério do Desenvolvimento Agrário e Agr";"22201";"Instituto Nacional de Colonização e Reforma";"BA";"SALVADOR";"05/08/2021";"16/07/2021";"100,0000"
"000012020";"762200";"CENTRO DE INSTRUCAO ALMIRANTE WANDENKOLK";"3";"Concorrência";"630930009122020";"Objeto: Contratação de obras civis para reforma e revitalização dos telhados das edificações do CIAW.";"Evento de Alteração Publicad";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"24/08/2021";"";"848386,3300"
"000012020";"784800";"BASE NAVAL DE VAL-DE-CAES";"9999";"Pregão - Registro de Preço";"63042.000034/2020";"Objeto: Pregão Eletrônico - Aquisição de Materiais para manutenção das instalações prediais localizados no Complexo Naval de Val de Cães, conforme condições, quantidades, exigências e estimativas estabelecidas neste instrumento.";"Evento de Alteração Publicad";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"PA";"BELEM";"24/08/2021";"24/03/2021";"0,00"
"000012021";"926810";"CONSELHO REGIONAL DE CONTABILIDADE - MA";"5";"Pregão";"2020/000142";"Objeto: Pregão Eletrônico - O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada para prestação de serviços de vigilância patrimonial armada, diurna e noturna, que compreenderá, além da mão de obra em regime de dedicação exclusiva, o fornecimento de todos os insumos e materiais necessários à plena execução do serviço a ser prestado na sede do Conselho Regional de Contabilidade do Maranhão  CRCMA, em São Luís/MA, conforme condições, quan";"Evento de Alteração Divulgad";"38500";"CONSELHO FEDERAL DE CONTABILIDADE";"38508";"CONSELHO REGIONAL DE CONTABILIDADE-MA";"-3";"Inválido";"04/08/2021";"04/05/2021";"195312,0000"
"000012021";"110101";"GABINETE DA VICE-PRESIDENCIA DA REPUBLICA";"6";"Dispensa de Licitação";"00300.000899/2021";"Objeto: Colchão King Size/SuperKing Size de medidas:193cmX203cmX36cm (CxLxA), Colchão King Size/SuperKing Size, Tipo conforto: Firm, Pillow top quadrado. Malha capa naturalmente hipoalergênica com viscose de bambu e fios de carbono com, aprox. 84,8% Poliéster, 13% viscose, 2% viscose bambu e 0,19% fio intense. Espumas tecnológicas viscoelástico e látex de alta densidade. Lâmina de Espuma D33 em tecido jacquard robusto com, aproximadamente, 70% poliéster e 30% Faixa lateral poliuretano...";"Encerrado";"20000";"Presidência da República";"60000";"Gabinete da Vice-Presidência da República";"DF";"BRASILIA";"05/08/2021";"22/07/2021";"4880,0000"
"000012021";"110402";"ESCOLA SUPERIOR DE GUERRA";"7";"Inexigibilidade de Licitação";"60631004274202080";"Objeto: Assinatura da BASE DE DADOS da Plataforma EBSCO, no período de 12 meses.";"Publicado";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo";"RJ";"RIO DE JANEIRO";"09/08/2021";"";"49000,0000"
"000012021";"114629";"SUPERINTENDENCIA DO IBGE NO DISTRITO FEDERAL";"7";"Inexigibilidade de Licitação";"21064.11/21-24";"Objeto: Contratação de produtos e serviços por meio de Pacote de Serviços dos CORREIOS mediante adesão ao Termo de Condições Comerciais e Anexos, quando contratados serviços específicos, que permite a compra de produtos e utilização dos diversos serviços dos CORREIOS por meio dos canais de atendimento disponibilizados.";"Publicado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"DF";"BRASILIA";"27/08/2021";"";"48000,0000"
"000012021";"114637";"CENTRO DOC. E DISSEMINACAO DA INFORMACAO/IBGE";"6";"Dispensa de Licitação";"00172700068202193";"Objeto: Contratação de empresa especializada visando e execução de serviços de seguro do tipo RETA para dois DRONES com peso superior à 250 gramas para uso profissional ou comercial, regulamentado e fiscalizado pela ANAC. DRONES esses pertencentes à COMAR/IBGE.";"Encerrado";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"RJ";"RIO DE JANEIRO";"20/08/2021";"";"900,0000"
