"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012019";"153038";"UNIVERSIDADE FEDERAL DA BAHIA";"2";"Tomada de Preços";"23066001367201908";"Objeto: Contratação de empresa especializada na prestação de serviços de Engenharia para construção do Setor de Ovinocultura e Caprinocultura, localizado na Vila das Mercês, s/n, Fazenda Experimental de São Gonçalo dos Campos/BA, pertencente à Universidade Federal da Bahia, conforme especificado no Termo de Referência/Projeto Básico, no Edital e seus anexos.";"Publicado";"26000";"Ministério da Educação";"26232";"Universidade Federal da Bahia";"BA";"SALVADOR";"30/12/2020";"";"2087013,5400"
"000012019";"154853";"IFPE - CAMPUS JABOATAO DOS GUARARAPES";"9999";"Pregão - Registro de Preço";"23519004785201973";"Objeto: Pregão Eletrônico - Registro de preços para eventual aquisição com instalação de aparelhos condicionadores de ar visando atender às demandas do IFPE Campus Jaboatão dos Guararapes e demais órgãos participantes.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26418";"Instituto Federal de Educação, Ciência e T";"PE";"JABOATAO DOS GUARARAPES";"22/12/2020";"14/10/2020";"51680,0000"
"000012019";"160105";"24º BATALHAO DE INFANTARIA DE SELVA";"9999";"Pregão - Registro de Preço";"64076009156201973";"Objeto: Pregão Eletrônico - Registro de Preço para eventual contratação de serviços de manutenção preventiva e corretiva de viaturas, em proveito do 24º Batalhão de Infantaria de Selva.";"Evento de Alteração Publicad";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"MA";"SAO LUIS";"09/12/2020";"11/03/2020";"0,00"
"000012019";"193002";"DEPARTAMENTO NACIONAL DE OBRAS CONT.AS SECAS";"3";"Concorrência";"59400007788201852";"Objeto: Contratação de serviços especializados para elaboração dos PLANOS DE SEGURANÇA DAS BARRAGENS POÇÕES E BOQUEIRÃO, integrantes do PISF  Projeto de Integração do Rio São Francisco com as Bacias do Nordeste Setentrional.";"Evento de Alteração de Resul";"53000";"Ministério da Integração e do Desenvolvime";"22204";"Departamento Nacional de Obras Contra as Seca";"CE";"FORTALEZA";"11/12/2020";"";"880376,7700"
"000012020";"110099";"SUPERINTENDENCIA REG. DE ADMIN. DA 3ª REGIAO";"9999";"Pregão - Registro de Preço";"00589000936201995";"Objeto: Pregão Eletrônico - Contratação de empresa especializada para a prestação de serviços de apoio administrativo, compreendendo os postos de AUXILIAR DE ESCRITÓRIO, AUXILIAR DE SERVIÇOS GERAIS E MOTORISTA para as unidades da AGU sediadas no Estado de São Paulo e em Mato Grosso do Sul e órgão(s) Participante(s): Delegacia da Receita Federal do Brasil em Franca e Agências Jurisdicionadas em Barretos, Batatais e São Joaquim da Barra, condições, quantidades e exigências estabelecidas no Edital e anexos";"Evento de Resultado de Julgame";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"SP";"SAO PAULO";"16/12/2020";"11/05/2020";"0,00"
"000012020";"110102";"SUPERINTENDENCIA REG. DE ADMIN. DA 2ª REGIAO";"7";"Inexigibilidade de Licitação";"00404003914202031";"Objeto: Contratação da FUNDAÇÃO GETÚLIO VARGAS, CNPJ n¿ 33.641.663/0001-44, conforme minuta de inexigibilidade de licitação, formalizada pela Superintendência de Administração no Rio de Janeiro, em atendimento à requisição da Secretaria-Geral de Administração, para contratação de instituição de ensino para capacitação de lideranças da AGU, conforme condições, quantidades e exigências estabelecidas no Projeto Básico";"Publicado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"RJ";"RIO DE JANEIRO";"21/12/2020";"";"3932550,0000"
"000012020";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"7";"Inexigibilidade de Licitação";"00034001949202091";"Objeto: Contratação da Empresa Brasileira de Correios e Telégrafos,para a aquisição de produtos e serviços por meio de pacote de Serviços Bronze 1,correspondendo aos serviços de conveniência, correspondência, marketing direto, encomendas nacionais, internacional - exportação, internacional - importação, serviços adicionais, franqueamento e outro serviços que atendam as necessidades da Imprensa Nacional.";"Publicado";"20000";"Presidência da República";"20116";"Fundo de Imprensa Nacional";"DF";"BRASILIA";"30/12/2020";"";"120000,0000"
"000012020";"110591";"FUNDO NACIONAL DE AVIACAO CIVIL";"7";"Inexigibilidade de Licitação";"50000028641202059";"Objeto: Contratação direta, por inexigibilidade de licitação, com base no art. 25 da Lei 8.666/1993, de curso aberto online de Introdução à Aviação , oferecido pela instituição de ensino Embry-Riddle Aeronautical University (ERAU), por meio de sua subsidiária Embry-Riddle Brasil Educação Aeronáutica Ltda, conforme condições, quantidades e exigências estabelecidas no Termo de Referência/Projeto Básico.";"Publicado";"68000";"Ministério de Portos e Aeroportos";"62901";"Fundo Nacional de Aviação Civil";"DF";"BRASILIA";"24/12/2020";"";"883358,0000"
"000012020";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"3";"Concorrência";"45142.113/1987";"Objeto: O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada na execução de serviços de engenharia necessários para a instalação de novo Datacenter principal do IBGE no Rio de Janeiro/RJ com fornecimento e instalação de equipamentos e materiais, e manutenção dos componentes pelo período inicial de 12 (meses).";"Evento de Resultado de Julgame";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"RJ";"RIO DE JANEIRO";"02/12/2020";"";"7694612,0000"
"000012020";"114602";"SUPERINTENDENCIA ESTADUAL DO IBGE EM RONDONIA";"9999";"Pregão - Registro de Preço";"215202171979";"Objeto: Pregão Eletrônico - Aquisição de material de limpeza para atender aos postos de coleta durante o Censo Demográfico do IBGE.";"Evento de Resultado de Julgame";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia ";"RO";"PORTO VELHO";"03/12/2020";"02/12/2020";"0,00"
