"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012021";"120195";"CENTRO DE AQUISICOES ESPECIFICAS";"3";"Concorrência";"67106002344202006";"Objeto: Fornecimento e implantação de um Sistema de Vigilância Dependente Automática por Radiodifusão (ADS-B - Automatic Dependent Surveillance - Broadcast), em todo o território brasileiro, contemplando os equipamentos e serviços relativos ao levantamento em campo, instalação, integração e testes de aceitação em fábrica e em campo, bem como a logística associada, composta de documentação técnica, o treinamento teórico e prático de funcionamento e manutenção do sistema.";"Evento de Alteração de Habil";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RJ";"RIO DE JANEIRO";"23/05/2022";"";"26571917,6400"
"000012021";"160220";"COMISSAO REGIONAL DE OBRAS/5";"9997";"Concorrência - Registro de Preço";"64328001396202054";"Objeto: Contratação de Estudos e Projetos de Engenharia necessários às Obras Militares de interesse do Exército Brasileiro.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"PR";"CURITIBA";"18/05/2022";"";"254625,0000"
"000012021";"160329";"BATALHAO CENTRAL DE MANUTENCAO E SUPRIMENTO";"5";"Pregão";"64619000453202193";"Objeto: Pregão Eletrônico - Contratação de atividade de apoio (barbearia) por meio da implantação da cessão de uso, a título oneroso, em uma área de 24,37 m², situada nas dependências do Batalhão Central de Manutenção e Suprimento";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"16/05/2022";"16/05/2022";"0,00"
"000012021";"160336";"DIRETORIA DE FABRICACAO";"3";"Concorrência";"64473003703202149";"Objeto: Contratação de empresa especializada para a execução do serviço de modernização da Viatura Blindada de Reconhecimento Média Sobre Rodas - EE-9 CASCAVEL, conforme condições, quantidades e exigências estabelecidas no edital e seus anexos.";"Evento de Alteração de Resul";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RJ";"RIO DE JANEIRO";"24/05/2022";"";"74643957,2300"
"000012021";"160401";"5 REGIMENTO DE CAVALARIA MECANIZADO";"5";"Pregão";"64676004531202144";"Objeto: Pregão Eletrônico - O objeto da presente licitação é a escolha da proposta mais vantajosa para a prestação de serviços de apoio, através da cessão de uso, sob o regime oneroso, de espaço físico destinado a instalação e ao funcionamento de uma barbearia, classificado como atividade de apoio pelo Decreto nº 3.725, de 10 de janeiro de 2001 /pela Portaria Normativa n. 1.233, de 11 de maio de 2012, do Ministério da Defesa.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RS";"QUARAI";"30/05/2022";"30/05/2022";"0,00"
"000012021";"250032";"SUPERINTENDENCIA ESTADUAL DO MS/RN";"5";"Pregão";"25017000509202137";"Objeto: Pregão Eletrônico - Contratação de empresa especializada na prestação de serviços continuados de apoio às atividades administrativas de técnico em secretariado para atender à demanda da SEMS/RN.";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"RN";"NATAL";"17/05/2022";"12/04/2021";"0,00"
"000012021";"250052";"INSTITUTO NACIONAL DO CANCER - RJ";"2";"Tomada de Preços";"25410.401048/2017";"Objeto: Contratação de Empresa Especializada em Engenharia para Execução de Obra Civil, de forma a atender à necessidade de reforma dos vestiários dos terceirizados no pavimento térreo do HC III, do Instituto Nacional do Câncer, sito à Rua Visconde de Santa Isabel, nº 274, bairro de Vila Isabel no Rio de Janeiro - RJ, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo";"RJ";"RIO DE JANEIRO";"25/05/2022";"";"129174,8200"
"000012021";"390004";"SUBSECRETARIA PLAN.,ORC.E ADM.-ADMINISTRATIVO";"3";"Concorrência";"50000028689202067";"Objeto: Contratação de serviços de publicidade prestados por intermédio de agência de propaganda, compreendendo o conjunto de atividades realizadas integradamente que tenham por objetivo o estudo, o planejamento, a conceituação, a concepção, a criação, a execução interna, a intermediação e supervisão da execução externa e a distribuição de ações publicitárias junto a públicos de interesse, para atender ao Ministério da Infraestrutura, de acordo com o edital e seus anexos.";"Evento de Resultado de Julgame";"39000";"Ministério dos Transportes";"39000";"Ministério dos Transportes - Unidades com v";"DF";"BRASILIA";"19/05/2022";"";"14966123,0000"
"000012021";"410003";"COORDENACAO-GERAL DE RECURSOS LOGISTICOS";"3";"Concorrência";"53115019144202061";"Objeto: Contratação de serviços de publicidade prestados por intermédio de agência de propaganda, compreendendo o conjunto de atividades realizadas integradamente que tenham por objetivo o estudo, o planejamento, a conceituação, a concepção, a criação, a execução interna, a intermediação e supervisão da execução externa e a distribuição de ações publicitárias junto a públicos de interesse.";"Evento de Resultado de Julgame";"41000";"Ministério das Comunicações";"41000";"Ministério das Comunicações - Unidades com";"DF";"BRASILIA";"19/05/2022";"";"1800000000,0000"
"000012021";"782320";"CAPITANIA DOS PORTOS DE SERGIPE";"7";"Inexigibilidade de Licitação";"63030001023201670";"Objeto: Chamamento público de pessoas físicas para o contrato de credenciamento de instrutores e coordenadores para ministrar/coordenar aulas aos alunos dos cursos de Aquaviários, previstos no Programa do Ensino Profissional Marítimo - PREPOM, da Marinha do Brasil, destinados à Capitania dos Portos de Sergipe.";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"SE";"ARACAJU";"18/05/2022";"";"1764,0000"
