"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012017";"788820";"CENTRO DE INTENDENCIA DA MARINHA EM MANAUS";"9999";"Pregão - Registro de Preço";"63401000034201758";"Objeto: Pregão Eletrônico - Contratação de empresa especializada, em regime de empreitada pelo melhor preço por grupo, para execução dos serviços técnicos de manutenção, com substituição de peças genuínas para os equipamentos hospitalares utilizados em 04 (quatro) navios de assistência hospitalar, subordinado ao Comando da Flotilha do Amazonas (ComFloTAM).";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"AM";"MANAUS";"30/10/2019";"27/08/2018";"0,00"
"000012018";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"9999";"Pregão - Registro de Preço";"23300000403201815";"Objeto: Pregão Eletrônico - Aquisição de Mobiliário para o IF Sertão Pernambucano";"Evento de Suspensão Publicado";"26000";"Ministério da Educação";"26430";"Instituto Federal de Educação, Ciência e T";"PE";"PETROLINA";"16/10/2019";"01/11/2018";"33856,0000"
"000012018";"160530";"BASE DE ADMINISTRACAO E APOIO DO CMO";"1";"Convite";"61194006790201827";"Objeto: Seleção da proposta mais vantajosa referente à contratação de empresa para execução de serviços e materiais necessários à instalação e implantação de 2 (dois) Grupos Motores Geradores (GMG's) para atender o Pavilhão 1 do 6º Centro de Telemática de Área. Organização Militar vinculada a Base de Administração e Apoio do Comando Militar do Oeste.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"MS";"CAMPO GRANDE";"02/10/2019";"";"0,00"
"000012018";"740002";"COORD-GERAL PROG. DESENV. SUBMAR. NUCLEAR";"9999";"Pregão - Registro de Preço";"621640010092017";"Objeto: Pregão Eletrônico - Aquisição de itens de informática, conforme condições, quantidades e exigências estabelecidas no Termo de Referência.";"Evento de Adiamento Divulgado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RJ";"RIO DE JANEIRO";"11/10/2019";"08/02/2018";"0,00"
"000012019";"110156";"ESCOLA SUPERIOR AGU MINIST. VICTOR NUNES LEAL";"6";"Dispensa de Licitação";"00683000009201905";"Objeto: Contratação do Serviço Nacional de Aprendizagem Comercial - SENAC MINAS, CNPJ nº 03.447.242/0018-64, no curso Excel 2013  Básico e Intermediário, com carga horária de 20 (vinte) horas, para 23 (vinte e três) participantes, a realizar-se no período de 29/10/2019 a 28/11/2019, em Belo Horizonte/MG";"Encerrado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vín";"DF";"BRASILIA";"29/10/2019";"";"4200,0000"
"000012019";"120623";"GRUPAMENTO DE APOIO DOS AFONSOS";"3";"Concorrência";"67564008930201834";"Objeto: Modernização da subestação elétrica do Museu Aeroespacial";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RJ";"RIO DE JANEIRO";"15/10/2019";"";"839013,9200"
"000012019";"120634";"GRUPAMENTO DE APOIO DE BARBACENA";"2";"Tomada de Preços";"67552010221201939";"Objeto: Serviços de Reparos e Adequações da Edificação E-062 - Banda de Música da EPCAR, da Escola Preparatória de Cadetes do Ar (EPCAR), situado na Rua Santos Dumont, 149 - Bairro São José - Barbacena - MG.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"MG";"BARBACENA";"24/10/2019";"";"592800,7300"
"000012019";"120638";"BASE AEREA DE CAMPO GRANDE";"9997";"Concorrência - Registro de Preço";"67268011477201979";"Objeto: Contratação de empresa especializada para realização do SERVIÇO DE MANUTENÇÃO NO PÁTIO DE AERONAVES (Registro de Preço), localizado na Ala 5";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"MS";"CAMPO GRANDE";"24/10/2019";"";"0,00"
"000012019";"120669";"BASE AEREA DE SANTA CRUZ";"3";"Concorrência";"67269000739201960";"Objeto: Contratação de empresa de engenharia especializada para a execução da obra de construção de paiol, na ALA 12";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"RJ";"RIO DE JANEIRO";"02/10/2019";"";"5781520,0800"
"000012019";"130062";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/MS";"7";"Inexigibilidade de Licitação";"21026002463201914";"Objeto: Contratação da Empresa Brasileira de Correios e Telégrafos-ECT para prestação de serviços de coleta e transporte de correspondências agrupadas-SEDEX, correspondências simples, AR, cartas simples, registradas, registradas com aviso de recebimento, telemáticos, encomendas econômicas e malotes em proveito desta Superintendência Federal de Agricultura Pecuária e Abastecimento - MS.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"MS";"CAMPO GRANDE";"31/10/2019";"";"80417,4300"
"000012019";"130090";"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/AM";"6";"Dispensa de Licitação";"21010002388201952";"Objeto: Aquisição de telefone sem fio com 2 ramais (3 aparelhos), viva voz, conferência, identificador de chamadas.";"Encerrado";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"AM";"MANAUS";"04/10/2019";"01/10/2019";"285,0000"
"000012019";"130126";"SUPERINT.REG.DE DESENV.DA LAV.CACAUEIRA/PA";"5";"Pregão";"21809000036201986";"Objeto: Pregão Eletrônico - Contratação de serviços continuados de vigilância armada (24 horas, 7 dias por semana), incluindo o fornecimento de uniformes, materiais e equipamentos, inclusive armamento, munição e coletes balísticos, no intuito de atender às necessidades da Sede da CEPLAC/SUPAM no Estado do Pará e suas unidades descentralizadas, pelo período de 12 meses, podendo ser prorrogado por no máximo até 60 meses, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos";"Evento de Resultado de Julgame";"22000";"Ministério da Agricultura e Pecuária";"22000";"Ministério da Agricultura e Pecuária - Unid";"PA";"BELEM";"24/10/2019";"27/08/2019";"1683996,0000"
"000012019";"135017";"EMBRAPA/CNPGC";"9999";"Pregão - Registro de Preço";"21177.000935/2019";"Objeto: Pregão Eletrônico - Aquisição de reagentes e materiais biológicos.";"Publicado";"22000";"Ministério da Agricultura e Pecuária";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"MS";"CAMPO GRANDE";"07/10/2019";"27/08/2019";"518,7500"
"000012019";"150154";"CENTRO DE EDUCACAO E SAUDE DA UFCG";"7";"Inexigibilidade de Licitação";"2309.033444201923";"Objeto: Inscrição de curso de capacitação para Nutricionista do CES.";"Publicado";"26000";"Ministério da Educação";"26252";"Universidade Federal de Campina Grande";"PB";"CUITE";"03/10/2019";"";"120,0000"
"000012019";"150218";"UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG";"9999";"Pregão - Registro de Preço";"23116000415201908";"Objeto: Pregão Eletrônico - Aquisição de Fios e Telas Cirúrgicas";"Publicado";"26000";"Ministério da Educação";"26273";"Universidade Federal do Rio Grande";"RS";"RIO GRANDE";"29/10/2019";"05/04/2019";"0,00"
"000012019";"150229";"HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES";"2";"Tomada de Preços";"23540006675201979";"Objeto: Contratação de construtora para execução das reformas de readequação da Central de Processamento de Material Esterilizado (CPME) e de implantação da Farmácia do Centro Obstétrico do Hospital Universitário Professor Alberto Antunes  HUPAA/UFAL/EBSERH.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26231";"Universidade Federal de Alagoas";"AL";"MACEIO";"21/10/2019";"";"254035,0900"
"000012019";"151095";"INSTITUTO DE HUMANIDADES ARTES E CIENCIAS";"6";"Dispensa de Licitação";"23066.056117/2019";"Objeto: Compra de material de consumo: 04 caixas plásticas organizadoras, 20 cadernos 216mm x 153mm, 02 caixas de etiqueta auto-adesiva 12,7 x 44,45mm, 01 caixa de etiqueta auto-adesiva 25,4 x 66,7mm, 03 grampeadores 20 fls, 100 pastas arquivo cristal, 15 litros de álcool etílico de cereais.";"Inválido";"26000";"Ministério da Educação";"26232";"Universidade Federal da Bahia";"BA";"SALVADOR";"24/10/2019";"";"627,0000"
"000012019";"151910";"IFPE - CAMPUS GARANHUNS";"9999";"Pregão - Registro de Preço";"23359014416201898";"Objeto: Pregão Eletrônico - Aquisição de material de expediente.";"Publicado";"26000";"Ministério da Educação";"26418";"Instituto Federal de Educação, Ciência e T";"PE";"GARANHUNS";"21/10/2019";"24/07/2019";"191314,1800"
"000012019";"151911";"IFPE - CAMPUS AFOGADOS DA INGAZEIRA";"9999";"Pregão - Registro de Preço";"23357001985201974";"Objeto: Pregão Eletrônico - Contratação de empresa especializada, sob o regime de execução indireta, para prestar serviços contínuos de manutenção preventiva e corretiva, e instalação de aparelhos de Ar-condicionado, incluindo o fornecimento de material e peças de reposição pela contratada, quando necessários, para atender às necessidades do IFPE  Campus Afogados da Ingazeira e demais participantes.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26418";"Instituto Federal de Educação, Ciência e T";"PE";"AFOGADOS DA INGAZEIRA";"01/10/2019";"23/08/2019";"99,9000"
"000012019";"152145";"IFB - CAMPUS CEILANDIA";"6";"Dispensa de Licitação";"23509000919201904";"Objeto: Contratação de empresa especializada para prestar serviços de manutenção, recarga e teste hidrostático nos extintores e manutenção em mangueiras de incêndio para o IFB Campus Ceilândia";"Encerrado";"26000";"Ministério da Educação";"26428";"Instituto Federal de Educação, Ciência e T";"DF";"BRASILIA";"30/10/2019";"";"3930,4500"
